name	side	R1_mean	R1_sd	R2_mean	R2_sd	pairs
T0G03	2	223.04792995993472	0.4418582792418442	561	0	pair2
T0G04	1	7	0	323.7519518885841	4.70369068004188	pair1
T0G04	2	245.46006909164805	5.875523548511284	561	0	pair2
T0G05	1	7	0	324.0087322121604	4.04633930184314	pair1
T0G05	2	247.310443490701	5.292090420565683	561	0	pair2
T0G06	1	7	0	324.2001378676471	3.275320054031919	pair1
T0G06	2	244.0348556430446	3.8050788900857584	561	0	pair2
T0G07	1	7	0	324.28304184193047	3.065274991373952	pair1
T0G07	2	256.97439247452314	0.5237070125745887	561	0	pair2
T0G08	1	7	0	323.8471919443579	6.536054066148486	pair1
T0G08	2	218.5047491638796	4.445136994064086	561	0	pair2
T0H01	1	7	0	326.8734924932316	2.25019521294807	pair1
T0H01	2	256.0102445021172	0.5121784160114854	561	0	pair2
T0H02	1	7	0	323.6160783877074	3.579330639431259	pair1
T0H02	2	257.15913396481733	1.2258139753659916	561	0	pair2
T0H03	1	7	0	323.67705192629813	4.197146809607139	pair1
T0H03	2	246.88480767268646	6.78387153822875	561	0	pair2
T0H04	1	7	0	323.9917411471886	3.569127845905661	pair1
T0H04	2	251.32056926384766	9.064140443856813	561	0	pair2
T0H05	1	7	0	323.9286212508719	4.294828256824005	pair1
T0H05	2	135.41767020388696	4.277962838510029	561	0	pair2
T0H06	1	7	0	324.6259453170448	1.9004309187092319	pair1
T0H06	2	137	0	831	0	pair2
T0H07	1	7	0	322.37359463641053	5.914360630684234	pair1
T0H07	2	248.41139758543073	9.012110105239488	561	0	pair2
T0H08	1	7	0	324.43827525103364	3.2429944639086994	pair1
T0H08	2	39.005601034037056	0.4245384738533737	561	0	pair2
T0I01	1	7	0	324.26882201588546	3.624878308245546	pair1
T0I01	2	256.84094915254235	2.5053355961101205	561	0	pair2
T0I02	1	7	0	325.64193591277757	1.6147069020112967	pair1
T0I02	2	251.86106032906764	0.5161829584191612	561	0	pair2
T0I03	1	7	0	324.1816488122962	3.604188456866471	pair1
T0I03	2	244.84748283752862	2.22921788099763	561	0	pair2
T0I04	1	7	0	324.7611238240529	1.897639704537836	pair1
T0I04	2	257	0	561	0	pair2
T0I05	1	7	0	324.22475290073055	4.5868505669029425	pair1
T0I05	2	245.75388680012193	7.570803419294894	561	0	pair2
T0I06	1	7	0	324.56551132095717	3.292556261834004	pair1
T0I06	2	246	0	561	0	pair2
T0I07	1	7	0	322.10407239819006	6.688947740815553	pair1
T0I07	2	246.7864641728672	9.631950962909944	561	0	pair2
T0I08	1	7	0	322.8532129357413	6.609880242543524	pair1
T0I08	2	228.10799267846247	14.746722015689496	561	0	pair2
T0K01	1	7	0	326.83388390750355	2.3640400533111925	pair1
T0K01	2	257.0221074927191	0.5371549337395254	561	0	pair2
T0K02	1	7	0	322.51902005375234	6.301457253528841	pair1
T0K02	2	242.15973111395647	5.491467392274565	1401	0	pair2
T0K03	1	7	0	321.4645967824572	6.539390774844554	pair1
T0K03	2	245.69166666666666	5.919527741848976	561	0	pair2
T0K04	1	7	0	322.8305224187577	6.186919254340214	pair1
T0K04	2	241.23343204329623	7.419133583650392	561	0	pair2
T0K05	1	7	0	632.3687644706378	6.067055473558696	pair1
T0K05	2	221.77614078166565	28.043103518884408	561	0	pair2
T0K06	1	7	0	322.41299229452056	5.854411762054277	pair1
T0K06	2	250.13761279737489	8.783376933179808	561	0	pair2
T0K07	1	7	0	322.52402597402596	5.603088017140551	pair1
T0K07	2	246.60776659132935	6.780197116002597	561	0	pair2
