refID	APD3	CAMP	DBAASP	dbAMP	DRAMP	LAMP2	SATPdb
fAMP0012171	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010166	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013515	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008011	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0006932	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0013462	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009807	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008053	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009426	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009135	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0008924	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011038	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009877	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0009124	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0010916	NA	NA	antibacterial	NA	NA	antibacterial	NA
fAMP0011046	NA	NA	antibacterial	NA	NA	antibacterial	NA
